Project Name,Project Link,Bug ID,Bug Title,Description,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,QA Status,DEV Status,Attachment,Reported By,Final_Status
,,Web-01,Logo is too short,Logo is too short. all the content view perfectly but branding logo is too short,"1. Go to website
2. observe the logo ",Re-size the logo size as client expected,Logo is too short,Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/175wNGrzccnf6qV-GIrvfvDT3ik6lfQOo/view?usp=drive_link,Lamiya QA,Done
,https://grow.joinkaf.ae/,Web-02, Incorrect Tab Title Displayed (KAF LMS Instead of KAF),"When opening the application in a new browser tab, the tab title is displayed as “KAF LMS” instead of the expected “KAF”. This does not match the intended branding.","1. Open the application in a browser
2. Open it in a new tab
3. Check the tab title",The tab title should be displayed as “KAF”.,The tab title is displayed as “KAF LMS” ,Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/1GH6y9mVf1AFH4maa0LOWbH-pcYdai0Kx/view?usp=drive_link,Lamiya QA,Done
,,Web-03,Unnecessary Language Option (BN) Displayed in Language Selector,"The language selector currently displays three options: English (EN), Arabic (AR), and Bengali (BN). However, only English and Arabic should be available. ","1. Open the website
2. Click on the language selector dropdown
3. observe the available language options",Only “English (EN)” and “Arabic (AR)” should be displayed in the language selector.,“Bengali (BN)” option is also displayed along with English and Arabic.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1aRGJNVoZd3rL8ZSEaMd0sEpFb5XNQ1h1/view?usp=drive_link,Lamiya QA,Done
,,Web-04,Incorrect Error Message Display,"leave the required password field click set password, the system shows an incorrect or unclear error message. The message does not properly describe the issue, which may confuse users.","1. Go to the login as student first time
2.after otp verification, nevigate to password page 
3. Leave required field
4. click the set password button 
5. observe the error msg showed",The system should display a clear and accurate error message describing the exact issue.,"An incorrect or unclear error message is shown, which does not properly indicate the problem.",Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1dknNP12EYVGXEG_96UDK_P_1wjko9MNG/view?usp=drive_link,Lamiya QA,Done
,,Web-05,“Become a Teacher” Option Should Be Removed from Footer,"The footer section currently includes a “Become a Teacher” option, which is not required. This option should be removed to keep the footer aligned with the intended design and functionality.","1.Scroll down to the footer section
2.Locate the “Become a Teacher” option",The “Become a Teacher” option should not be displayed in the footer.,The “Become a Teacher” option is visible in the footer.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1OnkyWUFNEDZtlZeKC_iV6iqA34sqrgVA/view?usp=drive_link,Lamiya QA,Done
,,Web-06,View profile button is not working,"The “View Profile” button is not functioning when clicked. It does not redirect to the profile page or perform any action, which prevents users from accessing profile details.","1. Go to website
2. scroll down 
3. Click on the “View Profile” button",when user click view profile button it should be redirected to profile details,Clicking the “View Profile” button does not trigger any action.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1JBVNQeh7faLlt-MULFJuIWajGJ9YTljT/view?usp=drive_link,Lamiya QA,Done
,,Web-07,Unknown Categories Displayed Under “Our Popular Courses” Heading,"Under the “Our Popular Courses” section, unknown categories are being displayed that do not match the actual courses available under the purchased organization plan.","1. Go to the homepage
2. Scroll to the “Our Popular Courses” section
3. Observe the categories shown under the heading",Only relevant course categories should be diaplayed under the purchased organization plan.,Unknown or irrelevant categories are displayed under the “Our Popular Courses” heading.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1cSm_AVg8l4uvWlFf86gUGUuV5mGCDY6s/view?usp=drive_link,Lamiya QA,Done
,,Web-08,Organization Profile Shows Incorrect Counts After Student Login,"After a student logs in, the homepage displays the organization profile. However, the counts for total students, enrollments, and available courses in the organization profile are shown as 0, even though there is existing data.","1. Log in as a student
2. Go to the homepage
3. Observe the organization profile section","The organization profile should display the correct counts for students, enrollments, and available courses based on actual data.","All counts (students, enrollments, available courses) are displayed as 0.",Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/1lfDuf23GljO-6mU8vDQj_lUi1krLVbcB/view?usp=drive_link,Lamiya QA,Done
,,Web-09,Update title Text – “Become an Instructor” → “Become an Organization”,"In the website, the title currently labeled “Become an Instructor” should be updated to “Become an Organization”","1. Navigate to the landing page.
2. Scroll the page
3. Observe the title “Become an Instructor.”",The button should display “Become an Organization and Teach Online”,The button currently displays “Become an Instructor and Teach Online.”,Major,High,New,Fixed ,https://drive.google.com/file/d/1vcnElYbEe5b4gbKyHzFvOm-wnWBOyzGj/view?usp=drive_link,Lamiya QA,Done
,,Web-10,Side arrow missing in both eng & arabic version,"In Top Rated Instructors,The side navigation arrow is missing in the UI for both English and Arabic versions.","1. Open the website.
2. Switch between English and Arabic language versions.
3. Observe the side bar in Top Rated Instructors.",The side arrow should be visible and functional in both English and Arabic versions,The side arrow is missing in both language versions.,Major,High,Re-test,Fixed ,"https://drive.google.com/file/d/1g5N4AUBwZNtK7W5z14myOWXRT9aOpayL/view?usp=drive_link


https://drive.google.com/file/d/1gOsN2Xbuo6a0bl8xqZA-y9Aaf6FEYQuv/view?usp=drive_link",Lamiya QA,Done
,,Web-11,Newest course position and read more button arrow position is incorrect,"In the Newest Courses section, the course positioning and the “Read More” button arrow are not displayed correctly","1. Go to the homepage
2. Scroll to the Newest Courses section.
3. Observe the position of course items and the “Read More” button arrow position.","Newest courses should be properly aligned and positioned.

The “Read More” button arrow should be correctly aligned and directionally appropriate (LTR/RTL based on language).","Newest course items are incorrectly positioned.

The “Read More” button arrow is misaligned or pointing in the wrong direction.",Major,High,Re-test,Fixed ,"https://drive.google.com/file/d/1dSBP6hfdtS5B5-OB4TDScsvGFUsaT-o4/view?usp=drive_link

https://drive.google.com/file/d/12QKDR-8h2VtNFB73dV1nclQrBI8P-jy7/view?usp=drive_link",Lamiya QA,Done
